Time,Time Abs,Time diff,Move,Comment,P1 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P2 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P3 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P4 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P
0,178550,0,All On,,ALL_ON_Yel_P,0,1,1,1,0,0,1,0,,1,0,1,0,0,1,0,1,,1,0,0,1,0,1,0,1,,0,0,0,0,1,1,0,1
5.6,181372,2822,P234 Off,,,1,0,1,0,1,1,0,1,,0,1,0,1,0,0,0,1,,0,0,0,1,1,0,0,1,,0,0,0,1,0,1,0,1
6.7,182431,1059,P1 Flicker Once,,,1,0,0,0,0,0,1,1,,1,0,0,1,0,1,1,1,,1,0,0,0,1,0,0,0,,1,1,0,0,0,0,0,0
7.1,182784,353,P4 On,,,1,0,1,1,0,0,1,0,,0,1,1,0,1,0,1,1,,1,1,0,1,0,1,1,0,,1,1,0,0,0,0,0,0
8.08,183843,1059,P4 Flicker Once,,,0,1,1,0,0,1,0,1,,0,1,1,1,0,0,0,0,,0,1,0,0,1,1,0,1,,1,0,0,1,0,1,1,0
8.82,184549,706,P23 On,,,1,1,0,0,0,1,0,0,,1,0,1,0,1,1,0,0,,0,1,0,0,1,1,0,0,,0,0,0,0,0,0,0,0
9.65,185255,706,All Off,,,1,0,1,1,0,0,1,0,,1,0,1,0,1,1,0,1,,1,1,1,0,1,1,1,0,,0,1,0,1,0,0,0,0
10.27,185960,705,"P14 Arms On,
P2 Green P On",,,0,1,1,1,0,0,0,0,,0,0,1,0,1,0,0,0,,0,1,0,1,1,0,0,1,,0,1,1,1,0,1,0,1
10.45,186137,177,"P2 Green P Off
P2 Red P On",,,0,0,1,0,1,1,1,0,,1,0,1,0,0,1,0,0,,1,0,1,1,0,0,0,1,,0,1,0,0,0,1,1,1
10.63,186314,177,"P2 Green P On
P2 Red P Off",,,1,0,0,1,1,1,0,1,,1,1,1,0,1,1,1,0,,1,0,1,1,1,1,1,0,,1,0,0,1,0,1,1,0
10.97,186666,352,"P124 Off
P3 On",,,1,0,0,0,0,0,1,0,,1,0,0,1,0,0,0,0,,1,1,1,1,1,1,0,1,,0,1,1,0,1,0,1,0
15.57,191255,4589,Turn on and off like a pulse from left side to right side one quarter of the body at a time (like P3 is transfering his body parts one by one to P4) legs to head,,,0,1,0,1,0,0,1,1,,1,0,0,0,1,1,1,1,,0,0,1,1,1,1,0,0,,1,1,1,0,1,0,0,0
,191608,353,,,,1,1,1,0,0,1,1,0,,0,0,0,0,0,1,1,1,,1,1,0,0,0,1,0,0,,1,0,0,1,1,1,0,1
,191960,352,,,,0,0,1,0,1,1,1,0,,1,1,1,0,1,0,1,1,,1,1,1,0,0,1,1,1,,0,1,0,0,1,0,0,0
,192313,353,,,,0,0,0,0,0,0,1,1,,0,1,0,0,1,1,1,0,,0,0,1,1,1,1,0,0,,1,0,1,1,1,0,1,0
"
21.56
21.93
22.29",196902,4589,"
P1 On for second beat
P2 On for Third Beat
P3 On for fourth beat",,,1,1,0,0,0,1,0,1,,0,1,1,1,0,1,0,0,,0,1,1,0,1,0,0,1,,0,1,0,1,1,1,0,1
,197255,353,,,,1,0,0,0,0,0,0,0,,0,0,1,0,0,1,1,1,,0,0,1,1,0,0,1,0,,1,1,1,1,1,0,0,1
,197608,353,,,,0,1,1,0,1,1,0,1,,1,1,1,1,0,0,0,0,,1,0,0,0,0,1,1,0,,1,1,0,1,0,0,0,0
,197961,353,,,,0,1,1,1,1,1,0,1,,0,1,1,1,0,0,1,1,,1,1,0,1,1,0,0,1,,0,0,0,0,0,1,1,0
22.63,198314,353,P34 Off,,,0,0,1,0,1,1,1,0,,0,1,0,0,1,1,1,1,,0,1,0,1,0,0,1,0,,0,0,1,1,1,0,0,0
