Time,Time Abs,Time diff,Move,Comment,P1 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P2 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P3 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P,P4 Preset,Left Arm,Right Arm,Left Leg,Right Leg,Head/Back,White Bottom,Yellow P,Red P
,33103,0,All off,Buffer,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
5.101 s,39323,6220,Person 1 All On,"On
24K BEGINS",ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
9.02 s,43248,3925,"Person 1 All Off (After doing explosion)
Person 3 and 4 All On","P1 After (Done)
P34 On",ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,43348,100,,"P1 from above
100 here.",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
12.379 s,46613,3265,P12 Legs On P34 Legs Off,"On
-100 from previous cue",BOTH_LEGS,,,,,,,,,BOTH_LEGS,,,,,,,,,,1,1,0,0,1,1,1,0,,1,1,0,0,1,1,1,0
 ,46858,245,P12 Torso (No P) On P34 Torso (No P) Off,,,0,0,1,1,1,1,0,0,,0,0,1,1,1,1,0,0,,1,1,0,0,0,0,1,0,,1,1,0,0,0,0,1,0
12.862 s,47068,210,P12 Arms On P34 Arms Off,,NO_Ps,,,,,,,,,NO_Ps,,,,,,,,,Just_Yel_P,,,,,,,,,Just_Yel_P,,,,,,,,
13.297 s,47524,456,P12 P On P34 P Off,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,49877,2353,P12 Turn off before. Cue from below,P12 Before - Dhayaa,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
"15.63



17.44 s",49977,100,"P4 All On
P12 All Off","P4 On
P12 Before (Done)",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
17.97s,52120,2143,P134 Arms On,"Before
-100 from this cell",BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
24.4s,58669,6549,All Off,"On
+100 from prev cell",ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
24.712s,58949,280,P4 On,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,59019,70,P4 Off P1 On,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,59089,70,P1 Off P3 On,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,59159,70,P3 Off P2 On,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
25.28,59510,351,P2 Off P3 On,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
,59580,70,P3 Off P1 On,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
,59650,70,P1 Off P4 On,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,59720,70,P4 Off,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,
25.85s,60071,351,P3 On,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
26.4 s,60631,560,P1 On,On,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
28.04,62314,1683,"P13 Off
P24 On",On,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
29.19,63435,1121,"P13 On
P24 Off",On,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
30.59,64837,1402,"P13 Legs Off
P24 Legs On",On,,1,1,0,0,1,1,1,0,BOTH_LEGS,,,,,,,,,,1,1,0,0,1,1,1,0,BOTH_LEGS,,,,,,,,
,64907,70,"P13 Bottom Torso Off
P24 Bottom Torso On",,,1,1,0,0,1,0,1,0,,0,0,1,1,0,1,0,0,,1,1,0,0,1,0,1,0,,0,0,1,1,0,1,0,0
,64977,70,"P13 P and Head Off
P24 P and Head On",,,1,1,0,0,0,0,0,0,,0,0,1,1,1,1,1,0,,1,1,0,0,0,0,0,0,,0,0,1,1,1,1,1,0
,65047,70,"P13 Arms Off
P24 Arms On",,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_ON_Yel_P,,,,,,,,
,67471,2424,P24 Off Except Arms,P24 Before (Done!),ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,
33.39,67571,100,"
P3 All On","
P3 On",ALL_OFF,,,,,,,,,BOTH_ARMS,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,BOTH_ARMS,,,,,,,,
34.93,69253,1682,P24 All Off,On,ALL_OFF,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
35.49,69884,631,P1 On,On,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,,ALL_ON_Yel_P,,,,,,,,,ALL_OFF,,,,,,,,
